,TICKET_CARRIER,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,avg_price_0,avg_price_1,avg_price_2,avg_price_3,tot_passengers_0,tot_passengers_1,tot_passengers_2,tot_passengers_3,avg_dist_0,avg_dist_1,avg_dist_2,avg_dist_3,Airline.nane_0,tot_passengers_sqr_0,tot_passengers_sqr_1,tot_passengers_sqr_2,tot_passengers_sqr_3,QUARTER_0,avg_dist_sqr_0,avg_dist_sqr_1,avg_dist_sqr_2,avg_dist_sqr_3,AIRLINE_ID_0,Period_0,ID_0
139,AA,10279,11298,146.940975609756,185.38588,152.796666666667,191.043269230769,306,442,6,59,312.0,312.0,312.0,312.0,American Airlines,93636.0,195364.0,36.0,3481.0,1,97344.0,97344.0,97344.0,97344.0,4,1,139
140,AA,10279,12266,193.93037037037,274.730384615385,261.948,222.738095238095,29,32,5,21,536.0,536.0,536.0,536.0,American Airlines,841.0,1024.0,25.0,441.0,1,287296.0,287296.0,287296.0,287296.0,4,1,140
145,AA,10299,10721,312.024,282.74,313.5,288.356666666667,6,2,1,3,3846.4,3713.0,4852.0,4005.33333333333,American Airlines,36.0,4.0,1.0,9.0,1,14794792.96,13786369.0,23541904.0,16042695.1111111,4,1,149
148,AA,10299,11278,384.5,445.86,446.833333333333,326.385,1,1,5,2,3458.0,3458.0,4531.0,4179.0,American Airlines,1.0,1.0,25.0,4.0,1,11957764.0,11957764.0,20529961.0,17464041.0,4,1,156
150,AA,10299,11298,530.0575,512.204736842105,471.517291666667,613.520666666667,27,19,52,20,3227.08333333333,3306.63157894737,3364.52083333333,3146.6,American Airlines,729.0,361.0,2704.0,400.0,1,10414066.8402778,10933812.398892,11320000.437934,9901091.56,4,1,158
157,AA,10299,12478,326.24,341.12625,318.025,256.81,3,8,2,1,3870.0,4497.125,4705.0,3586.0,American Airlines,9.0,64.0,4.0,1.0,1,14976900.0,20224133.265625,22137025.0,12859396.0,4,1,171
179,AA,10299,14492,333.5,341.9925,488.235,498.21,1,4,4,1,3492.0,3492.0,4383.5,3857.0,American Airlines,1.0,16.0,16.0,1.0,1,12194064.0,12194064.0,19215072.25,14876449.0,4,1,201
182,AA,10299,14683,273.0,335.675,484.433333333333,316.0,1,4,3,1,3355.0,3548.25,3395.0,3355.0,American Airlines,1.0,16.0,9.0,1.0,1,11256025.0,12590078.0625,11526025.0,11256025.0,4,1,204
193,AA,10397,10140,239.974933333333,231.902989690722,268.585079365079,285.121216216216,87,112,65,102,1300.0,1300.0,1319.52380952381,1359.44594594595,American Airlines,7569.0,12544.0,4225.0,10404.0,1,1690000.0,1690000.0,1741143.08390023,1848093.27994887,4,1,218
194,AA,10397,10185,230.004285714286,223.75,321.466,372.75,16,9,5,2,1016.0,1016.0,1016.0,1016.0,American Airlines,256.0,81.0,25.0,4.0,1,1032256.0,1032256.0,1032256.0,1032256.0,4,1,220
